"NC"	"PFOS"	"PFOA"	"Aflatoxin.B1"	"Cadmium.chloride"	"Lasiocarpine"
28.22819	27.639107	25.70741	28.538002	28.310831	29.932497
25.218403	23.979847	24.581984	25.909472	24.737858	27.209763
21.356955	19.683695	21.25479	21.991024	20.770376	24.115778
25.289722	24.62969	26.103804	26.595192	24.74812	27.918825
25.399555	23.940926	25.380167	24.814833	23.894527	24.351429
27.522139	25.51361	26.720978	26.9129	25.709372	24.449314
21.401163	20.00124	22.529924	20.546186	20.272818	19.377373
20.917128	19.809332	21.325808	20.226023	19.936262	19.694885
20.181921	19.205639	20.145216	20.398928	19.45925	18.961926
24.659369	22.908426	24.856283	25.297352	22.996656	22.932041
24.374348	23.114334	24.812786	24.689098	23.225481	23.648052
29.5023	28.968048	30.838259	31.356903	29.75187	28.247355
29.130253	27.876415	29.212957	30.318201	28.587105	28.206398
24.351366	22.99311	22.952362	24.825623	22.888327	22.893894
26.27087	25.753624	25.43433	26.365868	26.217678	25.986576
20.497179	19.335545	19.612158	20.357822	19.692293	19.000881
21.526321	20.285515	20.816511	21.36784	20.689775	20.70926
23.456423	22.428871	22.769398	22.48589	22.571522	22.22311
34.37847	34.136044	33.702362	36.501072	34.89086	32.406204
30.55237	29.915295	30.44674	30.500298	29.869114	29.878117
23.488752	22.861048	23.45516	23.192364	22.946272	23.189564
27.652613	27.220333	27.302027	27.812922	26.782795	26.534918
20.976923	19.870522	19.998688	20.637278	19.982647	19.549467
20.331747	19.801966	20.210735	19.94125	19.863247	19.411564
24.2456	23.273859	23.436007	22.677317	23.000006	21.943657
25.855757	24.632706	25.257528	25.835733	24.08821	23.238113
34.22925	32.73387	32.492847	32.69484	36.255455	33.766132
24.458454	23.195543	24.321318	24.593012	23.344929	23.145826
23.110739	21.923923	22.612307	23.710772	21.946377	22.741144
23.4507	21.9088	23.741766	23.343658	21.962454	22.079018
23.898684	22.872414	23.877628	23.708939	22.482899	22.395586
23.999802	22.994678	23.978996	24.147612	22.855696	22.838484
24.821198	23.680464	24.801762	24.890795	23.508715	23.57374
NA	37.79777	NA	NA	NA	33.80862
38.627308	38.411057	38.080273	38.606102	36.657856	33.105064
NA	39.60697	36.81621	34.775345	33.781387	34.765263
33.51786	32.934166	34.743073	35.54899	33.919125	30.58329
32.423492	31.119564	32.160385	30.351812	29.31755	28.914095
32.363434	29.732758	30.124681	30.628572	30.699232	29.298883
NA	NA	NA	NA	NA	36.824932
NA	38.83746	37.831944	33.49695	37.983303	33.229206
32.989044	31.9636	32.7522	NA	32.969658	33.920544
29.424007	28.634604	29.722567	29.331625	29.331173	27.863472
25.258396	23.816133	23.958115	28.440939	25.669525	32.57059
32.387947	32.366657	32.990223	29.709055	30.14858	29.246962
26.006306	25.278662	25.593538	24.770926	25.305695	24.23367
37.912437	37.998554	36.536137	NA	37.429085	35.92555
NA	NA	NA	NA	39.139397	NA
21.523623	21.477955	21.862125	22.840042	22.321907	24.808558
26.737057	25.605871	26.478836	26.390434	25.345463	24.146606
25.981571	25.418009	25.424732	26.39929	25.51048	25.39139
23.91681	22.73957	23.555044	23.512205	22.007988	21.91818
24.526798	23.58489	24.30521	24.614643	23.832773	23.931551
24.290363	23.768368	24.64357	25.330294	23.822924	25.823677
30.242157	30.467302	29.960022	30.742796	30.426973	27.53931
31.458387	32.94314	34.933983	32.40022	32.77391	33.7835
32.983807	31.907019	34.665344	33.211403	31.776772	32.30758
25.47612	24.690693	25.49041	25.31874	24.666582	24.680098
21.645002	20.869335	21.486958	22.326136	21.534212	22.174297
22.204203	21.773127	22.25875	22.767752	22.350891	23.793238
25.347982	24.819408	25.28526	25.213186	24.832739	24.63739
23.751123	22.918201	23.137959	23.624866	23.13532	23.180593
24.683167	23.679293	23.877632	25.515924	23.61874	23.6371
21.61573	21.180462	21.165659	21.475286	21.432064	21.291414
21.705166	20.98525	20.98867	22.220007	20.80374	20.249317
28.243277	28.425661	28.063726	29.583	28.837818	30.602013
20.950161	20.435509	20.67215	20.940262	20.456984	20.663677
20.78979	20.341375	20.30424	19.885548	19.880915	18.925226
23.68673	22.997482	23.315413	23.285854	23.147076	22.474564
24.493729	24.226702	24.134565	24.90712	24.66762	24.882053
24.240719	23.491816	23.97059	22.668518	22.534645	21.774904
23.754929	23.16958	23.862955	23.15775	23.242615	22.788939
23.338991	22.881033	23.464773	23.465689	23.163374	23.849257
36.875664	34.21711	38.58483	38.006527	34.90078	31.28129
26.11314	24.211195	25.203695	26.428974	24.343454	24.317488
27.76776	25.499163	26.535538	26.80472	25.528816	23.539948
22.76911	22.396484	22.907116	24.361446	22.905344	26.19588
