"NC"	"PFOS"	"PFOA"	"Lasiocarpine"
24.309595	24.636368	24.442423	24.570717
20.439173	20.75206	20.494898	21.477032
21.546827	21.79105	21.697792	23.450703
24.356625	24.678366	24.737286	24.396324
22.849411	23.309345	22.875723	22.99264
23.38007	23.928495	23.686268	23.755089
20.84962	21.20812	20.915651	20.9949
20.428955	21.080458	20.823732	20.019928
28.580069	28.637459	28.118702	29.61264
20.281414	20.313728	20.358973	20.674465
20.13108	19.963598	19.936638	18.802252
23.070162	23.193443	23.080341	22.43287
24.096924	24.409718	24.318563	24.79207
24.325256	23.970934	24.246626	22.05355
23.272587	23.403915	23.375141	22.650398
22.651005	23.335745	22.981234	23.598475
32.261005	34.7516	36.673443	32.795147
23.587662	24.223007	24.410603	24.71863
25.421476	25.26767	25.950764	24.211222
21.566816	22.437706	22.386787	26.273193
24.771858	25.786446	25.327457	25.696182
24.354198	24.681475	24.554623	25.256565
26.27314	26.639194	26.375772	24.96935
26.24446	27.54937	27.975037	30.371769
23.747856	23.999884	23.807812	26.322351
25.547268	25.656263	25.708626	26.402996
22.381943	22.920143	22.545551	23.609182
26.134619	26.272848	26.358114	23.966938
25.315882	25.689922	25.926542	25.806715
24.422543	24.400728	24.523094	22.986626
26.709936	27.152176	26.724255	26.509604
22.517303	22.875172	22.915236	23.252443
23.96145	24.229149	24.465435	24.575552
31.647232	32.398617	31.634369	32.53461
21.671978	21.93227	21.936707	22.64162
25.829407	26.88344	27.236126	28.789692
29.25017	28.971846	29.598259	27.87924
23.653246	23.948542	23.720314	23.519638
24.934307	24.8635	24.796192	23.567694
22.612484	23.005344	22.9248	24.347267
22.323786	22.744625	22.74788	20.179607
33.21691	37.859272	NA	31.83189
21.614433	21.851368	21.757978	21.017723
23.515285	25.421291	25.352196	27.249567
21.61337	22.900963	22.576996	26.31871
21.432453	20.845411	20.861988	23.722057
26.810703	28.187422	28.312996	28.112244
23.120886	23.506824	23.666286	25.147322
22.73232	23.338516	23.260637	23.52581
22.715332	22.891537	23.219433	22.270515
21.303585	21.734253	21.575705	21.826706
19.72428	20.142399	19.959663	19.945316
25.986076	26.86809	26.663279	25.440817
29.5641	30.243332	30.870657	28.975052
34.219944	35.862732	36.43342	36.54547
22.82476	23.125534	23.235464	24.253105
33.326878	33.352844	36.07802	33.38095
27.739538	26.906755	27.180752	25.54842
22.003706	22.006828	22.195217	21.491201
35.837452	33.474422	35.284473	35.77258
35.841263	39.697292	33.821415	38.81792
24.10021	25.373789	24.138817	24.487743
19.389717	20.221283	19.998753	21.184578
18.143314	19.578245	18.989674	22.236383
21.546148	21.902176	21.976234	22.3132
20.973816	21.531815	21.53025	22.219208
24.004883	24.720295	24.49057	25.175158
23.528278	24.545723	24.25122	24.57013
22.281784	22.829714	22.962917	22.620628
22.392445	22.944164	23.20145	23.559528
23.408146	23.949278	23.660192	24.523476
23.613085	24.228489	23.935432	23.978622
17.335716	17.196058	17.733183	19.755344
23.587332	24.73353	25.367487	29.633299
29.908749	30.892303	32.17909	29.507896
32.21073	31.69268	31.485031	34.396126
23.16562	23.657812	23.459919	23.47668
20.167473	20.331257	20.310982	19.696928
26.44382	27.150465	26.756289	27.53173
24.613552	25.603762	25.675869	27.904173
23.428436	23.748972	23.747103	25.533371
23.31879	23.585447	23.442598	23.402533
22.482098	23.23301	22.878176	22.733746
21.174187	21.483448	21.477646	22.385324
33.871685	33.896507	NA	NA
25.965994	26.257196	25.838768	26.518744
23.778812	24.2978	23.99156	25.17194
26.80682	26.696264	26.993618	27.712614
21.739584	21.974468	22.133686	21.26597
28.96576	28.99541	30.126131	30.129175
22.516132	22.899359	22.883286	22.564615
