Refseq;PFOS_Fold_Regulation;PFOS_pvalue;PFOA_Fold_Regulation;PFOA_pvalue;Aflatoxin B1_Fold_Regulation;Aflatoxin B1_pvalue;Cadmium chloride_Fold_Regulation;Cadmium chloride_pvalue;Lasiocarpine_Fold_Regulation;Lasiocarpine_pvalue
NM_014787;1.07;0.784049;-1.42;0.463418;1.05;0.748577;1.02;0.982354;1;0.970804
NM_004408;1.54;0.129224;1.15;0.721563;-2.36;0.09244;-1.38;0.286504;-5.39;0.020641
NM_006426;-1.87;0.12766;-2.17;0.409762;-1.26;0.429446;-1.33;0.435008;-2.02;0.088237
NM_175940;1.07;0.65856;-1.11;0.604785;1.59;0.046851;1.12;0.454914;1.48;0.012082
NM_014080;-1.29;0.351512;-2.24;0.121593;-1.38;0.362564;-1.06;0.96861;-2.72;0.071845
NM_004092;-1.17;0.509117;-1.2;0.497961;-1.69;0.216254;-1.74;0.198611;-3.88;0.047415
NM_014674;-1.11;0.458106;-1.1;0.476667;-1.25;0.492014;-1.41;0.107075;-2.75;0.007181
NM_025191;-1.25;0.148492;-1.19;0.237817;-1.4;0.07801;-1.45;0.055222;-1.57;0.030383
NM_001966;-1.51;0.164851;-1.11;0.585553;-2.32;0.06777;-2.18;0.07148;-11.11;0.008067
NM_004836;-1.27;0.077428;-1.15;0.344856;-1.19;0.181191;-1.25;0.100983;-1.22;0.312011
NM_015904;-1.15;0.192003;-1.1;0.636449;1.12;0.50619;-1.29;0.048092;1.19;0.125661
NM_001428;1.04;0.866225;1.07;0.768255;1;0.793578;-1.22;0.303484;-1.57;0.064747
NM_001429;1.15;0.876201;1.06;0.9077;1.21;0.75149;1.37;0.490627;-1;0.771474
NM_000120;1.53;0.377708;1.08;0.982879;-1.06;0.721395;-1.02;0.734631;-2.49;0.078577
NM_000502;-1.3;0.437316;-1.37;0.247645;-3.13;0.116863;-1.25;0.418644;-3.23;0.027673
NM_001983;1.16;0.779503;-1.23;0.676788;-1.21;0.823823;1.25;0.547364;-1.1;0.581552
NM_000400;1.04;0.856889;-1.15;0.576387;-1.49;0.127751;-1.15;0.392198;-2.63;0.00677
NM_000122;-1.11;0.495716;-1.41;0.422501;-1.12;0.766406;1.08;0.785594;-1.06;0.66037
NM_000123;-1.04;0.701214;-1.08;0.505471;-1.17;0.11806;-1.2;0.173176;-1.24;0.015637
NM_000124;1.01;0.95829;-1.32;0.558533;-1.18;0.360294;-1.24;0.196943;-1.31;0.113363
NM_033266;-2.15;0.152859;-1.99;0.406578;-1.22;0.503945;-1.21;0.616702;-1.36;0.344559
NM_014584;1.01;0.965691;-1.1;0.287784;-1.25;0.026739;-1.15;0.08972;-1.21;0.044482
NM_019891;-1.12;0.25624;-1.23;0.5996;-1.55;0.063319;-1.46;0.047572;-1.95;0.002599
NM_001984;-1.01;0.831316;-1.09;0.76523;-1.15;0.136021;-1.26;0.03776;-1.11;0.219051
NM_000125;-2.29;0.201638;-3.2;0.331846;-1.62;0.831355;1.17;0.824561;-1.15;0.483797
NM_000506;-1.02;0.800577;-1.3;0.346059;-1.47;0.1002;-1.55;0.151801;-12.51;0.000283
NM_001443;-1.13;0.503379;1.39;0.231893;-2.34;0.025449;-2.85;0.01815;-160.78;0.000561
NM_003824;-1.02;0.752619;-1.32;0.29077;-1.31;0.103672;-1.01;0.879014;-1.27;0.018356
NM_000043;1.06;0.550557;-1.12;0.516806;1.81;0.002305;1.05;0.592612;2.6;0.000037
NM_000639;-1.53;0.63729;-3.02;0.262182;-1.27;0.619141;1.16;0.770171;-1.35;0.415833
NM_004104;-1.89;0.054128;-1.64;0.080839;-2.51;0.027561;-1.7;0.09639;-9;0.004734
NM_018438;-1.07;0.590013;-1.37;0.286742;-2.03;0.049022;-1.5;0.095613;-3.71;0.002825
NM_000143;-1.33;0.032192;-1.27;0.070157;-1.44;0.011431;-1.57;0.005419;-1.54;0.002664
NM_001460;-1.1;0.870784;1.07;0.754209;-2.94;0.017726;-2.18;0.024847;-3.95;0.015948
NM_006894;-1.14;0.490224;-1.05;0.81797;-2.02;0.02326;-2.02;0.027326;-3.87;0.008137
NM_002022;-1.1;0.67172;-1.24;0.357852;-1.93;0.086149;-1.61;0.212268;-4.8;0.009956
NM_001461;-2.56;0.037449;-2.34;0.063121;-3.17;0.061604;-2.06;0.166032;-12.46;0.007476
NM_012188;-2.25;0.041545;-1.57;0.329334;-1.16;0.872139;1.33;0.279121;-2.72;0.029148
NM_012192;-1.08;0.668595;-1.02;0.885858;-1.4;0.164343;-1.24;0.280309;-1.59;0.082367
NM_001924;1.1;0.809721;1.03;0.746508;1.44;0.482461;1.57;0.492424;2.17;0.10684
NM_014568;-1.03;0.865398;-1.14;0.681952;1.67;0.194506;1.4;0.19561;4.11;0.000045
NM_000159;-1.25;0.023734;-1.56;0.021853;-1.72;0.025878;-1.46;0.035765;-3.8;0.000042
NM_005276;-1.89;0.017523;-1.48;0.420911;-2.95;0.065893;-2.17;0.11509;-45.9;0.000553
NM_005309;-1.25;0.250014;-1.62;0.084064;-2.4;0.035039;-1.61;0.123244;-32.7;0.001577
NM_000581;-1.11;0.35466;-1.18;0.495927;1.41;0.017115;-1.05;0.664992;1.2;0.165906
NM_002083;1.78;0.023489;1.24;0.371395;1.57;0.042428;-1.14;0.53008;-1.15;0.431933
NM_002084;1.35;0.355045;-1.16;0.778398;-1.17;0.791146;-1.07;0.722815;-1.61;0.12601
NM_002085;-1.09;0.173503;-1.17;0.135653;-1.14;0.150075;-1.24;0.008196;-1.93;0.000044
NM_001509;-1.21;0.344222;-1.2;0.327037;-1.14;0.687422;1.01;0.902769;-1.31;0.495706
NM_182701;-1.21;0.344222;-1.01;0.946152;-1.14;0.687422;-1.32;0.212977;-1.78;0.049397
NM_015696;-4.03;0.049322;-3.68;0.053279;-2.06;0.208775;-2.09;0.374973;-2.57;0.222147
NM_002086;-1.04;0.86397;-1.1;0.540799;-1.3;0.094808;-1.16;0.113959;-1.74;0.001458
NM_000847;-1.95;0.071572;-2.36;0.102842;-1.79;0.167923;-1.68;0.391157;-8.51;0.00546
NM_000850;-1.08;0.618722;-1.59;0.238882;-1.77;0.119664;-1.58;0.127249;-4.6;0.016075
NM_012205;-1.09;0.610851;-1.31;0.296805;-1.71;0.108989;-1.41;0.104173;-2.29;0.003235
NM_000182;1.42;0.086779;1.61;0.057619;-1.24;0.383923;-1.27;0.185997;-1.65;0.036692
NM_000183;1.29;0.131068;1.61;0.094253;-1.29;0.123673;-1.54;0.010197;-1.92;0.003737
NM_014685;-1.09;0.602486;-1.04;0.879863;-2;0.041597;-1.63;0.070305;-2.21;0.023716
NM_002124;-1.21;0.344222;-1.2;0.327037;-1.14;0.687422;-1.32;0.212977;-1.46;0.24557
NM_030661;1.09;0.913997;1.81;0.307691;-1.41;0.467303;-1.37;0.348154;-5.31;0.018547
NM_002151;1.22;0.458176;1.12;0.679915;-1.45;0.236315;-1.2;0.636864;-8.51;0.008109
NM_000613;1.02;0.98202;-1.33;0.615479;-1.53;0.468638;-1.49;0.434583;-25.18;0.002916
NM_000412;-1.68;0.200074;-2.25;0.250984;-1.74;0.595357;-1.15;0.879162;-32.7;0.020586
NM_005526;1.15;0.274604;-1.21;0.345759;-1.01;0.999142;-1.01;0.95718;-1.62;0.017673
NM_004506;1.1;0.930043;-1.18;0.592369;-1.07;0.665643;-1.12;0.49759;1.51;0.157089
NM_001017963;1.21;0.037543;-1.34;0.789688;1.33;0.044731;-1.25;0.083386;1.46;0.001351
NM_007355;1.21;0.11056;-1.09;0.982956;1.21;0.277877;-1.15;0.187798;-1.04;0.561002
NM_003299;-1.06;0.460371;-1.13;0.680986;-1.22;0.134104;-1.24;0.057029;-1.31;0.025523
NM_005345;1.24;0.448045;-1.23;0.798071;-1.25;0.662541;1.23;0.469829;-1.28;0.263825
NM_005346;1.13;0.478672;-1.2;0.833998;-1.14;0.59746;-1.02;0.827482;-1.87;0.012642
NM_005527;-1.05;0.943078;-1.61;0.307375;-1.3;0.935045;-1.69;0.159358;-1.1;0.604299
NM_021979;-1.21;0.206266;-1.4;0.171544;-1.59;0.137522;-1.71;0.025079;-1.36;0.111861
NM_002154;-1.03;0.857927;1.16;0.418658;-1.07;0.969969;1.07;0.775328;1.55;0.193912
NM_005347;-1.39;0.007786;1;0.934573;-1.23;0.050784;-1.67;0.008246;-2.09;0.000167
NM_006597;1.03;0.809243;1.12;0.286287;1.01;0.894658;-1.37;0.052215;1.03;0.817663
NM_004134;1.56;0.074628;1.29;0.129064;1.02;0.885144;-1.13;0.247421;-1.22;0.104049
NM_001540;1.27;0.272791;1.28;0.231954;1.52;0.236123;-1;0.964771;1.24;0.281561
NM_001541;-2.27;0.317932;-1.69;0.411396;-1.18;0.777386;-1.42;0.750555;-1.38;0.423233
NM_144617;1.42;0.230408;-1.31;0.321852;-1.43;0.554974;-1.23;0.424289;-1.22;0.326284
NM_014365;1.03;0.897057;-1.14;0.436808;1.02;0.830355;-1.26;0.136513;-1.51;0.051881
NM_024610;-1.18;0.274445;-1.02;0.957566;1.01;0.94827;1.01;0.984535;1.15;0.423087
NM_002156;1.23;0.127053;1.3;0.020877;1.12;0.387544;-1.24;0.148247;1.14;0.177767
NM_002157;-1.07;0.547432;-1.06;0.577337;1.09;0.615729;-1.24;0.121401;-1.04;0.70184
NM_006644;1.23;0.343888;1.23;0.34413;1.82;0.131762;1.01;0.936095;2.04;0.002265
NM_013247;-1.1;0.684497;-1.19;0.42458;-1.12;0.63315;1.1;0.714083;1.37;0.136374
NM_153692;-1.31;0.80796;1.43;0.382043;-1.65;0.521593;-1.89;0.382537;-1.9;0.140077
NM_000201;-1.32;0.229322;-1.28;0.372909;-1.1;0.645248;-1.11;0.461919;-1.54;0.018874
NM_005896;1.05;0.911044;1.01;0.957082;-1.65;0.175316;-1.14;0.620509;-2.53;0.035434
NM_002168;-1.08;0.610645;-1.41;0.438487;1.01;0.945518;-1.06;0.631146;-1.71;0.061303
NM_005530;-1.17;0.463844;-1.31;0.421712;-1.19;0.322905;-1.06;0.667139;-1.33;0.169109
NM_174856;-1.06;0.519233;-1.13;0.634083;-1.17;0.228149;-1.13;0.211405;-1.29;0.036458
NM_174869;-1.09;0.469246;-1.19;0.54831;-1.13;0.421087;-1.05;0.676214;-1.41;0.040721
NM_024013;-1.44;0.047435;-1.42;0.035214;-1.35;0.272512;-1.56;0.022907;-1.46;0.139547
NM_000619;-1.36;0.238089;-1.35;0.22656;-1.06;0.791851;-1.47;0.174177;1.13;0.700297
